,name,difficulty_code,district,difficulty,description,polyline
1695,22ND AVE,e,Current,#00FF00,Enhanced Street,"[(47.617110231221766, -122.30361808956687), (47.617110988152426, -122.30361915846323), (47.617111747214956, -122.30362022534354), (47.61711250842283, -122.30362128917004), (47.61711327247777, -122.30362234996251), (47.61711403728787, -122.30362340662369), (47.617114804958355, -122.30362445921317), (47.61711557476095, -122.30362550978649), (47.61711634743716, -122.30362655525036), (47.61711712154346, -122.30362759867826), (47.61711789780861, -122.3036286380146), (47.61711867693416, -122.30362967327913), (47.61711945750332, -122.30363070546996), (47.617120240231074, -122.30363173356928), (47.61712102509083, -122.30363275965252), (47.61712181282436, -122.30363378062611), (47.61712260200154, -122.30363479852619), (47.61712339332386, -122.30363581337235), (47.61712418680507, -122.30363682412688), (47.617124982431385, -122.30363783182754), (47.61712577952829, -122.30363883437911), (47.617126579472114, -122.30363983389657), (47.61712738154777, -122.303640831398), (47.617128185093804, -122.30364182375023), (47.617128990785254, -122.30364281304865), (47.61712979863535, -122.3036437982554), (47.61713060863077, -122.3036447804083), (47.61713142078486, -122.30364575846961), (47.61713223509785, -122.30364673243936), (47.61713305085414, -122.30364770333544), (47.617133869471004, -122.30364867015963), (47.61713468955819, -122.30364963183474), (47.61713551106219, -122.3036505925117), (47.61713633544005, -122.30365154807899), (47.61713716126144, -122.30365250057275), (47.61713798924159, -122.30365344897483), (47.61713881867872, -122.30365439326548), (47.6171396509762, -122.30365533348434), (47.61714048541906, -122.30365627064943), (47.617141320617364, -122.30365720368324), (47.617142158662354, -122.3036581336829), (47.61714299819134, -122.30365905749572), (47.617143839838796, -122.30365998033022), (47.6171446843467, -122.3036608990929), (47.617145528921476, -122.30366181266673), (47.61714637634335, -122.30366272320651), (47.6171472252222, -122.30366362963487), (47.61714807625989, -122.30366453197162), (47.617148928740974, -122.30366543123465), (47.61714978409601, -122.30366632538814), (47.61715064019292, -122.30366721644825), (47.617151499150424, -122.30366810343635), (47.6171523588494, -122.30366898733122), (47.617153221422406, -122.30366986611642), (47.61715408543897, -122.30367074182777), (47.61715495091265, -122.30367161342792), (47.617155818531664, -122.30367248197417), (47.61715668763438, -122.30367334433343), (47.61715755888249, -122.30367420363883), (47.61715843157419, -122.30367505987053), (47.61715930643793, -122.3036759109728), (47.61716018274526, -122.30367675900142), (47.61716106122477, -122.30367760190067), (47.61716194113442, -122.3036784427641), (47.61716282251461, -122.30367927847824), (47.617163706053454, -122.30368011010074), (47.61716459036095, -122.3036809365542), (47.617165478203795, -122.30368176103124), (47.617166366801925, -122.303682581377), (47.61716725687052, -122.30368339657365), (47.61716814838271, -122.30368420869657), (47.617169042066934, -122.30368501569), (47.617169937883205, -122.3036858206674), (47.61717083448159, -122.30368661943808), (47.617171733926725, -122.30368741517462), (47.61717263343914, -122.30368820572228), (47.61717353509683, -122.30368899321614), (47.617174438913146, -122.30368977661846), (47.61717534348471, -122.30369055588942), (47.61717625022849, -122.3036913300309), (47.61717715842939, -122.30369210006101), (47.61717806876228, -122.30369286807509), (47.61717897986357, -122.30369363092007), (47.61717989313707, -122.30369438863562), (47.61718080785426, -122.30369514327758), (47.61718172402842, -122.30369589380805), (47.61718264165959, -122.30369664022699), (47.617183560761234, -122.30369738149683), (47.61718448202153, -122.30369811867492), (47.61718540402373, -122.30369885275965), (47.617186328198116, -122.30369958171495), (47.61718725382945, -122.30370030655868), (47.61718818021613, -122.30370102727123), (47.6171891087615, -122.30370174389208), (47.617190039465676, -122.30370245642136), (47.617190970925066, -122.30370316481941), (47.617191902438044, -122.3037038690662), (47.61719283681153, -122.30370456924135), (47.61719377265548, -122.30370526426714), (47.617194709942915, -122.30370595621939), (47.61719564799924, -122.30370664300249), (47.6171965882141, -122.30370732569396), (47.617197529886056, -122.30370800427393), (47.617198472313206, -122.30370867872271), (47.617199416912584, -122.30370934804213), (47.617200362253996, -122.30371001426796), (47.61720130836395, -122.30371067532465), (47.617202257334384, -122.30371133230972), (47.617203207060186, -122.30371198516339), (47.6172041582429, -122.30371263390563), (47.617205110194455, -122.30371327747874), (47.61720606429124, -122.30371391799802), (47.61720701915684, -122.30371455334839), (47.61720797547947, -122.30371518458712), (47.61720893325892, -122.30371581171443), (47.61720989110557, -122.30371643365287), (47.61721085179937, -122.30371705255742), (47.61721181396321, -122.30371766631258), (47.617212776194265, -122.30371827487888), (47.61721374057061, -122.30371888039132), (47.617214705715774, -122.30371948073463), (47.61721567231788, -122.30372007696653), (47.61721663967541, -122.3037206690672), (47.61721760848981, -122.30372125705635), (47.61721857877478, -122.30372183989623), (47.61721955051677, -122.30372241862472), (47.61722052301391, -122.30372299322195), (47.61722149698154, -122.30372356266983), (47.61722247170458, -122.30372412798653), (47.61722344788457, -122.30372468919167), (47.61722442481996, -122.30372524626559), (47.61722540321239, -122.30372579922798), (47.61722638238674, -122.30372634598356), (47.61722736370661, -122.3037268896852), (47.617228345093416, -122.30372742819809), (47.617229327937295, -122.30372796259944), (47.61723031223819, -122.30372849288942), (47.61723129730786, -122.30372901801015), (47.61723228383441, -122.30372953901953), (47.61723327111642, -122.30373005589763), (47.617234259167134, -122.30373056760656), (47.617235248675, -122.30373107520411), (47.617236238937856, -122.30373157867042), (47.6172372306714, -122.30373207698736), (47.61723822316011, -122.30373257117309), (47.617239216404215, -122.30373306122743), (47.617240211118784, -122.30373354613256), (47.61724120658864, -122.30373402690651), (47.617242202827235, -122.30373450251132), (47.61724320052286, -122.3037349740046), (47.61724419897382, -122.3037354413666), (47.617245198193494, -122.30373590355957), (47.61724619887022, -122.30373636164107), (47.61724720100399, -122.303736815611), (47.61724820250302, -122.30373726437233), (47.61724920547256, -122.30373770798437), (47.61725020988573, -122.30373814852264), (47.61725121437924, -122.3037385828343), (47.61725222171975, -122.30373901411197), (47.61725322702261, -122.30373944014106), (47.61725423518531, -122.30373986209845), (47.617255244117096, -122.30374027888696), (47.61725625311569, -122.30374069048634), (47.617257264259685, -122.3037410990319), (47.617258274769064, -122.30374150236872), (47.61725928674888, -122.30374190055633), (47.61726029949736, -122.30374229357473), (47.617261312974364, -122.30374268453754), (47.61726232723383, -122.30374306929329), (47.61726334226156, -122.30374344888017), (47.61726435873311, -122.30374382539333), (47.617265375285236, -122.30374419567976), (47.6172663925924, -122.3037445618349), (47.617267410655025, -122.30374492385872), (47.61726843017468, -122.30374528177096), (47.617269450476506, -122.30374563347647), (47.61727047011683, -122.30374598204878), (47.61727149122776, -122.30374632547186), (47.61727251380878, -122.30374666374563), (47.617273535741944, -122.30374699784842), (47.61727455844383, -122.30374732678216), (47.61727558330445, -122.30374765162419), (47.617276607516935, -122.3037479722953), (47.61727763390159, -122.30374828783701), (47.617278658949864, -122.30374859815014), (47.61727968546869, -122.303748903314), (47.61728071271604, -122.30374920642208), (47.61728174004377, -122.3037495033036), (47.61728276884195, -122.30374979503571), (47.61728379769358, -122.3037500826167), (47.61728482732756, -122.30375036399091), (47.6172858576899, -122.30375064330937), (47.61728688811947, -122.30375091743883), (47.61728791861598, -122.30375118637936), (47.61728895128454, -122.30375145019055), (47.617289984006824, -122.30375170985046), (47.61729101679619, -122.30375196432158), (47.61729205034081, -122.30375221466133), (47.61729308395256, -122.30375245981226), (47.6172941190212, -122.30375270085162), (47.617295154156984, -122.30375293670205), (47.6172961893464, -122.30375316840127), (47.61729722530451, -122.30375339493142), (47.61729826131626, -122.30375361731063), (47.617299298811915, -122.30375383350271), (47.61730033564605, -122.30375404656148), (47.6173013739506, -122.30375425447103), (47.61730241162057, -122.30375445717182), (47.617303451449175, -122.30375465578108), (47.61730448923989, -122.30375484914175), (47.61730552918919, -122.30375503841086), (47.61730656850377, -122.30375522247124), (47.61730760857382, -122.30375540240031), (47.617308649412664, -122.3037555771602), (47.617309690304836, -122.30375574776893), (47.617310731264276, -122.3037559131888), (47.61731177229078, -122.30375607341982), (47.61731281477426, -122.30375622953927), (47.61731385732477, -122.3037563804698), (47.61731489992893, -122.30375652724912), (47.61731594260044, -122.30375666883963), (47.617316985338405, -122.3037568052411), (47.61731802881856, -122.30375693854911), (47.617319072379225, -122.30375706563039), (47.61732011669512, -122.30375718858032), (47.61732116106476, -122.3037573073791), (47.61732220551476, -122.30375741995122), (47.61732325000506, -122.30375752940996), (47.61732429458917, -122.30375763160419), (47.61732533990181, -122.30375773174265), (47.61732638528154, -122.30375782669216), (47.61732743072828, -122.30375791645275), (47.61732847624208, -122.30375800102445), (47.61732952180944, -122.30375808144505), (47.617330568145725, -122.30375815669642), (47.617331613833784, -122.30375822777687), (47.61733266029057, -122.30375829368825), (47.61733370681448, -122.30375835441073), (47.617336161922466, -122.3037584871264), (47.617748755499306, -122.30375172158915), (47.61780725319832, -122.30374579620339), (47.61807093588729, -122.30413634067196), (47.618086433089324, -122.30415929486911)]"
1697,4TH AVE,i,Current,#FFFF00,In street major separation,"[(47.61229387479545, -122.33873242980931), (47.61306259579938, -122.34003289909057)]"
1699,12TH AVE S,e,Current,#00FF00,Enhanced Street,"[(47.558661659465145, -122.31714659517485), (47.55790932514483, -122.31715289112148)]"
1702,YESLER WAY,d,Current,#FF0000,In street minor separation,"[(47.60171615725104, -122.33026479453544), (47.601715890345424, -122.33011131299979), (47.60172128606033, -122.32902105295285)]"
1706,NW 65TH ST,i,Current,#FFFF00,In street major separation,"[(47.67596459233363, -122.3713977135381), (47.675962126186434, -122.3719527448586)]"
1707,BROAD ST,i,Current,#FFFF00,In street major separation,"[(47.61515727712025, -122.3547830830303), (47.61544635482088, -122.3544071651765), (47.615587942225204, -122.35422426917835)]"
1708,BURKE GILMAN TRL,e,Current,#00FF00,Multi use Trail,"[(47.653675546451694, -122.36083146070966), (47.65346065713493, -122.36064750206907), (47.65336668443505, -122.36053738038859), (47.65324293744558, -122.3603698778363), (47.65312361110731, -122.36015730042622), (47.652788229794346, -122.35954284265787), (47.65049313278952, -122.35481946169409), (47.65046915083776, -122.35448367635131)]"
1709,39TH AVE S,d,Current,#FF0000,Sharrows,"[(47.51825580824974, -122.28370024927078), (47.51732808925634, -122.28363272490402)]"
1714,MERCER ST,d,Current,#FF0000,In street minor separation,"[(47.62457824709807, -122.3554039237253), (47.62457552139589, -122.35409848094518)]"
1718,5TH AVE NE,d,Current,#FF0000,Sharrows,"[(47.709581187582906, -122.32330419606599), (47.70999517831218, -122.32331622197415)]"
1719,RAINIER AVE S,i,Current,#FFFF00,In street major separation,"[(47.51099074157647, -122.2410821136583), (47.51098074482526, -122.2409657126732), (47.51096413619282, -122.24085097011552), (47.510941038984356, -122.24073869849738), (47.51055793875363, -122.23915258990316), (47.51051090439495, -122.23897777006441), (47.510503752796886, -122.2389560113827), (47.51045528124824, -122.23880853316625), (47.51039136755157, -122.23864579590304), (47.510319515312005, -122.23849044117989), (47.51024013202617, -122.23834334923708), (47.51005309181325, -122.2380212188665), (47.509583639381816, -122.2372127271476)]"
1721,NE 65TH ST,d,Current,#FF0000,In street minor separation,"[(47.67589277499237, -122.32440056409803), (47.675892380203834, -122.32436497194472), (47.67588150236196, -122.32338634543834)]"
1724,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.54028627195143, -122.29796457054967), (47.54008065941521, -122.29772833232542), (47.539879536683266, -122.29746540680374), (47.53971458720647, -122.29721406378152), (47.53955956927621, -122.29697785500659)]"
1725,6TH AVE S,d,Current,#FF0000,In street minor separation,"[(47.54804855231526, -122.32615040007799), (47.54660472888786, -122.32615266709634), (47.54625000321807, -122.32615322080989)]"
1728,STEWART ST,i,Current,#FFFF00,In street major separation,"[(47.61872749099306, -122.33041260535205), (47.61882115876654, -122.33029143682896), (47.619195818540746, -122.3298067736586), (47.61924577558996, -122.32974214819603), (47.61958917131207, -122.32929791799528), (47.61971505162357, -122.32913505998604)]"
1729,17TH AVE NW,e,Current,#00FF00,Enhanced Street,"[(47.67771391726823, -122.37890792792894), (47.679523276160786, -122.37891563243302)]"
1731,NE CAMPUS PKWY,i,Current,#FFFF00,In street major separation,"[(47.65601220967376, -122.31557218333572), (47.655999990631244, -122.31442451606966)]"
1732,W EMERSON ST,d,Current,#FF0000,In street minor separation,"[(47.65409117000565, -122.40894964855015), (47.65409191656637, -122.40998430722526)]"
1733,39TH AVE NE,e,Current,#00FF00,Enhanced Street,"[(47.6757852764413, -122.28589655558561), (47.67585747270773, -122.28596538899686), (47.67760048372116, -122.28601513183742)]"
1734,EASTLAKE AVE E,i,Current,#FFFF00,In street major separation,"[(47.62512051944298, -122.32916668026425), (47.62527275502956, -122.32916907776176), (47.625455244246844, -122.32916895506949), (47.625871507255916, -122.32919014033824), (47.62601259030008, -122.32919381213338), (47.6261264973826, -122.32919677618644), (47.626268878603845, -122.32920048119537), (47.62687702785865, -122.32921631040425)]"
1739,51ST AVE S,d,Current,#FF0000,In street minor separation,"[(47.50702677873913, -122.27012331188861), (47.50614732225668, -122.27014243618206)]"
1740,FREMONT BR,e,Current,#00FF00,Multi use Trail,"[(47.64729966315301, -122.34975040314785), (47.64768372710495, -122.34975097090636), (47.64791910486566, -122.34974488070412)]"
1742,CALIFORNIA AVE SW,d,Current,#FF0000,Sharrows,"[(47.56928052097864, -122.38676827741386), (47.56838957814569, -122.386769610627)]"
1744,JEFFERSON ST,d,Current,#FF0000,In street minor separation,"[(47.606186753313246, -122.31286022360595), (47.6061811759656, -122.3115544560556)]"
1745,N 128TH ST,d,Current,#FF0000,Sharrows,"[(47.7220150993165, -122.33734405853687), (47.722013694349215, -122.3341796270138)]"
1752,NE 75TH ST,d,Current,#FF0000,In street minor separation,"[(47.68311118326203, -122.31748950905268), (47.68310645394859, -122.3170962763895), (47.68310482593152, -122.31696097846746)]"
1754,S MCCLELLAN ST,d,Current,#FF0000,In street minor separation,"[(47.57834034117669, -122.28872681705191), (47.578340608148196, -122.28849889121861), (47.57834100967943, -122.28830386464656)]"
1755,WOODLAND PL N,d,Current,#FF0000,In street minor separation,"[(47.676057075247314, -122.34767132614672), (47.67620420201036, -122.34725207555914), (47.676879521111054, -122.3472689416989)]"
1756,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.55530117860461, -122.30304331279129), (47.554929944897964, -122.30291343263644)]"
1757,NW 58TH ST,e,Current,#00FF00,Enhanced Street,"[(47.67088329719307, -122.36293286482719), (47.67088672982203, -122.36401226235651)]"
1761,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.71550622598566, -122.29150310777864), (47.71731678341739, -122.29136481418439)]"
